STREET,ADDRESS,SIDE,FROM,TO,METER,MECH ID,MODEL,DOOR,VAULT,ISSUES,SPACES,TIME
Gridiron,7E,S,E. Columbus,Main,1,130,POM,Square,New Dual,,1,
Gridiron,7E,S,E. Columbus,Main,2,131,POM,Square,New Dual,,1,
Gridiron,9E,S,E. Columbus,Main,3,132,POM,Square,Extended,,1,
Gridiron,15E,S,E. Columbus,Main,4,133,Duncan,Round,Dual-Head,,1,
Gridiron,15E,S,E. Columbus,Main,5,134,Duncan,Round,Dual-Head,,1,
Gridiron,21E,S,E. Columbus,Main,6,135,Duncan,Round,Dual-Head,,1,
Gridiron,21E,S,E. Columbus,Main,7,136,Duncan,Round,Dual-Head,,1,
Gridiron,29E,S,E. Columbus,Main,8,137,Duncan,Round,Dual-Head,,1,
Gridiron,29E,S,E. Columbus,Main,9,138,Duncan,Round,Dual-Head,,1,
Gridiron,33,S,E. Columbus,Main,10,139,Duncan,Round,Single,,1,
Gridiron,33,S,E. Columbus,Main,11,140,Duncan,Round,Dual-Head,,1,
Gridiron,37E,S,E. Columbus,Main,12,141,Duncan,Round,Dual-Head,,1,
Gridiron,37E,S,E. Columbus,Main,13,142,Duncan,Round,Dual-Head,,1,
Gridiron,41E,S,E. Columbus,Main,14,143,Duncan,Round,Dual-Head,,1,
Gridiron,41E,S,E. Columbus,Main,15,144,Duncan,Round,Single,,1,
Lyman,6,NW,Main,Dwight,30,40,Duncan,Round,Dual-Head,,1,1
Lyman,6,NW,Main,Dwight,31,41,Duncan,Round,Dual-Head,,1,1
Lyman,10E,NW,Main,Dwight,32,42,Duncan,Round,Dual-Head,,1,1
Lyman,10E,NW,Main,Dwight,33,43,Duncan,Round,Dual-Head,,1,1
Lyman,14E,NW,Main,Dwight,34,44,Duncan,Round,Dual-Head,,1,1
Lyman,14E,NW,Main,Dwight,35,45,Duncan,Round,Dual-Head,,1,1
Lyman,22E,NW,Main,Dwight,36,46,Duncan,Round,Dual-Head,,1,1
Lyman,22E,NW,Main,Dwight,37,47,Duncan,Round,Dual-Head,,1,1
Lyman,26E,NW,Main,Dwight,38,48,Duncan,Round,Dual-Head,,1,1
Lyman,26E,NW,Main,Dwight,39,49,Duncan,Round,Dual-Head,,1,1
Lyman,30E,NW,Main,Dwight,40,50,Duncan,Round,Dual-Head,,1,1
Lyman,30E,NW,Main,Dwight,41,51,Duncan,Round,Dual-Head,,1,1
Lyman,34E,NW,Main,Dwight,42,52,Duncan,Round,Dual-Head,,1,1
Lyman,34E,NW,Main,Dwight,43,53,Duncan,Round,Dual-Head,,1,1
Lyman,40E,NW,Main,Dwight,44,54,Duncan,Round,Dual-Head,,1,1
Lyman,40E,NW,Main,Dwight,45,55,Duncan,Round,Dual-Head,,1,1
Lyman,44E,NW,Main,Dwight,46,56,Duncan,Round,Dual-Head,,1,1
Lyman,44E,NW,Main,Dwight,47,57,Duncan,Round,Dual-Head,,1,1
Lyman,48E,NW,Main,Dwight,48,58,Duncan,Round,Dual-Head,,1,1
Lyman,48E,NW,Main,Dwight,49,59,Duncan,Round,Dual-Head,,1,1
Lyman,52E,NW,Main,Dwight,50,60,POM,Square,Extended,,1,1
Lyman,70E,NW,Dwight,Chestnut,51,61,Duncan,Round,Dual-Head,,1,1
Lyman,70E,NW,Dwight,Chestnut,52,62,Duncan,Round,Dual-Head,,1,1
Lyman,76E,NW,Dwight,Chestnut,53,63,Duncan,Round,Dual-Head,,1,1
Lyman,76E,NW,Dwight,Chestnut,54,64,Duncan,Round,Dual-Head,,1,1
Lyman,82E,NW,Dwight,Chestnut,55,65,Duncan,Round,Dual-Head,,1,1
Lyman,82E,NW,Dwight,Chestnut,56,66,Duncan,Round,Dual-Head,,1,1
Lyman,90E,NW,Dwight,Chestnut,57,67,Duncan,Round,Dual-Head,,1,1
Lyman,90E,NW,Dwight,Chestnut,58,68,Duncan,Round,Dual-Head,,1,1
Lyman,130E,NW,Dwight,Chestnut,59,69,POM,Square,New Dual,,1,1
Lyman,130E,NW,Dwight,Chestnut,60,70,POM,Square,New Dual,,1,1
Lyman,136E,NW,Dwight,Chestnut,61,71,POM,Square,New Dual,,1,1
Lyman,136E,NW,Dwight,Chestnut,62,72,POM,Square,New Dual,,1,1
Lyman,140E,NW,Dwight,Chestnut,63,73,POM,Square,Extended,,1,1
Lyman,7E,SE,Main,Kaynor,70,74,Duncan,Round,Single,,1,30 MIN.
Lyman,11,SE,Main,Kaynor,71,75,Duncan,Round,Dual-Head,,1,30 MIN.
Lyman,11,SE,Main,Kaynor,72,76,Duncan,Round,Dual-Head,,1,30 MIN.
Lyman,21E,SE,Main,Kaynor,73,77,Duncan,Round,Single,,1,1
Lyman,31E,SE,Main,Kaynor,74,78,POM,Square,Extended,,1,1
Lyman,31E,SE,Main,Kaynor,75,79,POM,Square,Extended,,1,1
Lyman,35E,SE,Main,Kaynor,76,80,POM,Square,Extended,,1,1
Lyman,35E,SE,Main,Kaynor,77,81,POM,Square,Extended,,1,1
Lyman,41E,SE,Main,Kaynor,78,82,Duncan,Round,Dual-Head,,1,1
Lyman,41E,SE,Main,Kaynor,79,83,Duncan,Round,Dual-Head,,1,1
Lyman,45,SE,Main,Kaynor,80,84,Duncan,Round,Dual-Head,,1,1
Lyman,45,SE,Main,Kaynor,81,85,Duncan,Round,Dual-Head,,1,1
Lyman,67E,SE,Chestnut,Dwight,82,86,POM,Square,Extended,,1,1
Lyman,67E,SE,Chestnut,Dwight,83,87,POM,Square,Extended,,1,1
Lyman,69E,SE,Chestnut,Dwight,84,88,Duncan,Round,Dual-Head,,1,1
Lyman,69E,SE,Chestnut,Dwight,85,89,Duncan,Round,Dual-Head,,1,1
Lyman,73E,SE,Chestnut,Dwight,86,90,Duncan,Round,Dual-Head,,1,1
Lyman,73E,SE,Chestnut,Dwight,87,91,Duncan,Round,Dual-Head,,1,1
Lyman,77E,SE,Chestnut,Dwight,88,92,Duncan,Round,Dual-Head,,1,1
Lyman,77E,SE,Chestnut,Dwight,89,93,Duncan,Round,Dual-Head,,1,1
Lyman,81E,SE,Chestnut,Dwight,90,94,Duncan,Round,Dual-Head,,1,1
Lyman,81E,SE,Chestnut,Dwight,91,95,Duncan,Round,Dual-Head,,1,1
Lyman,111,SE,Chestnut,Dwight,92,96,POM,Square,New Dual,,1,1
Lyman,111,SE,Chestnut,Dwight,93,97,POM,Square,New Dual,,1,1
Lyman,127,SE,Chestnut,Dwight,94,98,POM,Square,New Dual,Jersey,1,1
Lyman,127,SE,Chestnut,Dwight,95,99,POM,Square,New Dual,Jersey,1,1
Lyman,135E,SE,Chestnut,Dwight,96,100,POM,Square,New Dual,,1,1
Lyman,135E,SE,Chestnut,Dwight,97,101,POM,Square,New Dual,,1,1
Lyman,139E,SE,Chestnut,Dwight,98,102,POM,Square,Extended,Jersey,1,1
Taylor,74E,NW,Dwight,Kaynor,108,103,Duncan,Round,Dual-Head,,1,
Taylor,72E,NW,Dwight,Kaynor,109,104,Duncan,Round,Dual-Head,,1,
Taylor,72E,NW,Dwight,Kaynor,110,105,Duncan,Round,Dual-Head,,1,
Taylor,70E,NW,Dwight,Kaynor,111,106,Duncan,Round,Dual-Head,,1,
Taylor,70E,NW,Dwight,Kaynor,112,107,Duncan,Round,Dual-Head,,1,
Taylor,68E,NW,Dwight,Kaynor,113,108,Duncan,Round,Dual-Head,"Meter 113,114 has one mech and chute",1,
Taylor,68E,NW,Dwight,Kaynor,114,,Duncan,Round,Dual-Head,,1,
Taylor,62E,NW,Dwight,Kaynor,115,109,Duncan,Round,Single,,1,
Taylor,41,SE,Main,Kaynor,125,110,Duncan,Round,Dual-Head,,1,
Taylor,41,SE,Main,Kaynor,126,111,Duncan,Round,Dual-Head,,1,
Taylor,43,SE,Main,Kaynor,127,112,Duncan,Round,Dual-Head,,1,
Taylor,43,SE,Main,Kaynor,128,113,Duncan,Round,Dual-Head,,1,
Taylor,57,SE,Kaynor,Dwight,129,114,Duncan,Round,Dual-Head,,1,
Taylor,57,SE,Kaynor,Dwight,130,115,Duncan,Round,Dual-Head,,1,
Taylor,65E,SE,Kaynor,Dwight,131,116,Duncan,Round,Dual-Head,,1,
Taylor,65E,SE,Kaynor,Dwight,132,117,Duncan,Round,Dual-Head,,1,
Taylor,69E,SE,Kaynor,Dwight,133,118,POM,Square,Extended,,1,
Taylor,69E,SE,Kaynor,Dwight,134,119,POM,Square,Extended,,1,
Taylor,71E,SE,Kaynor,Dwight,135,120,Duncan,Round,Dual-Head,,1,
Taylor,71E,SE,Kaynor,Dwight,136,121,Duncan,Round,Dual-Head,,1,
Taylor,73E,SE,Kaynor,Dwight,137,122,Duncan,Round,Single,,1,
Taylor,101,SE,Dwight,Chestnut,138,123,Duncan,Round,Single,,1,
Taylor,103,SE,Dwight,Chestnut,139,124,Duncan,Round,Dual-Head,,1,
Taylor,103,SE,Dwight,Chestnut,140,125,Duncan,Round,Dual-Head,,1,
Taylor,105,SE,Dwight,Chestnut,141,126,Duncan,Round,Dual-Head,,1,
Taylor,105,SE,Dwight,Chestnut,142,127,Duncan,Round,Dual-Head,,1,
Taylor,107,SE,Dwight,Chestnut,143,128,Duncan,Round,Dual-Head,,1,
Taylor,107,SE,Dwight,Chestnut,144,129,Duncan,Round,Dual-Head,,1,
Dwight,336E,SW,Worthington,Bridge,145,232,POM,Square,Extended,,1,1
Dwight,338E,SW,Worthington,Bridge,146,233,POM,Square,Extended,,1,1
Dwight,338E,SW,Worthington,Bridge,147,234,POM,Square,Extended,,1,1
Dwight,356E,SW,Worthington,Bridge,148,235,POM,Square,Extended,,1,1
Dwight,356E,SW,Worthington,Bridge,149,236,POM,Square,Extended,,1,1
Dwight,360E,SW,Worthington,Bridge,150,237,POM,Square,Extended,,1,1
Dwight,360E,SW,Worthington,Bridge,151,238,POM,Square,Extended,,1,1
Dwight,378,SW,Taylor,Worthington,152,239,Duncan,Round,Dual-Head,,1,
Dwight,378,SW,Taylor,Worthington,153,240,Duncan,Round,Dual-Head,,1,
Dwight,394E,SW,Taylor,Worthington,154,241,Duncan,Round,Single,,1,
Dwight,428E,SW,Lyman,Taylor,155,242,POM,Square,Extended,,1,
Dwight,432E,SW,Lyman,Taylor,156,243,Duncan,Round,Dual-Head,,1,
Dwight,432E,SW,Lyman,Taylor,157,244,Duncan,Round,Dual-Head,,1,
Dwight,436,SW,Lyman,Taylor,158,245,Duncan,Round,Dual-Head,,1,
Dwight,436,SW,Lyman,Taylor,159,246,Duncan,Round,Dual-Head,,1,
Dwight,436,SW,Lyman,Taylor,160,247,Duncan,Round,Single,,1,
Dwight,458E,SW,Lyman,Taylor,161,248,Duncan,Round,Dual-Head,,1,
Dwight,458E,SW,Lyman,Taylor,162,249,Duncan,Round,Dual-Head,,1,
Dwight,,,,,165,250,,,,,1,
Dwight,,,,,166,251,,,,,1,
Dwight,,,,,167,252,,,,,1,
Dwight,,,,,168,253,,,,,1,
Dwight,,,,,169,254,,,,,1,
Dwight,,,,,170,255,,,,,1,
Dwight,381E,E,Taylor,Worthington,171,256,Duncan,Round,Single,,1,
Dwight,381E,E,Taylor,Worthington,172,257,Duncan,Round,Single,,1,
Dwight,391E,E,Taylor,Worthington,173,258,Duncan,Round,Single,,1,
Dwight,395,E,Taylor,Worthington,174,259,Duncan,Round,Dual-Head,,1,
Dwight,395,E,Taylor,Worthington,175,260,Duncan,Round,Dual-Head,,1,
Dwight,459,E,Lyman,Taylor,176,261,Duncan,Round,Dual-Head,,1,
Dwight,435,E,Lyman,Taylor,177,262,Duncan,Round,Dual-Head,,1,
Dwight,435,E,Lyman,Taylor,178,263,Duncan,Round,Dual-Head,,1,
Dwight,435,E,Lyman,Taylor,179,264,Duncan,Round,Dual-Head,,1,
Hampden,45E,S,Main,E. Columbus,182,145,POM,Square,APM-2X,,2,2
Hampden,45E,S,Main,E. Columbus,183,146,POM,Square,APM-2X,,2,2
Hampden,,,,,184,147,,,,,1,
Hampden,4E,N,Main,E. Columbus,185,148,Duncan,Round,Dual-Head,,1,
Hampden,4E,N,Main,E. Columbus,186,149,Duncan,Round,Dual-Head,,1,
Hampden,6E,N,Main,E. Columbus,187,150,Duncan,Round,Dual-Head,,1,
Hampden,6E,N,Main,E. Columbus,188,151,Duncan,Round,Dual-Head,,1,
Hampden,14E,N,Main,E. Columbus,189,152,Duncan,Round,Dual-Head,,1,
Hampden,14E,N,Main,E. Columbus,190,153,Duncan,Round,Dual-Head,,1,
Hampden,18E,N,Main,E. Columbus,191,154,Duncan,Round,Dual-Head,,1,
Hampden,18E,N,Main,E. Columbus,192,155,Duncan,Round,Dual-Head,,1,
